relative_path,exists,size_bytes,modified_utc,log_kind
logs/run_20260409_013404.log,True,78238,2026-04-08T17:37:12+00:00,log
logs/run_20260409_013918.log,True,200907,2026-04-08T21:54:18+00:00,log
logs/run_20260409_014200.log,True,161939,2026-04-08T21:54:18+00:00,log
logs/run_20260409_014438.log,True,134918,2026-04-08T21:54:18+00:00,log
logs/run_20260409_014619.log,True,75170,2026-04-08T17:47:49+00:00,log
logs/run_20260409_015052.log,True,57448,2026-04-08T21:54:18+00:00,log
logs/run_20260409_015117.log,True,41997,2026-04-08T21:54:18+00:00,log
logs/run_20260409_230105.log,True,3594,2026-04-09T15:01:54+00:00,log
logs/run_20260409_230244.log,True,208851,2026-04-09T15:34:28+00:00,log
logs/run_20260411_010520.log,True,46097,2026-04-10T17:37:21+00:00,log
logs/run_mindoro_reportable_core_20260411_232413.log,True,15393,2026-04-11T15:36:11+00:00,log
logs/run_prototype_legacy_bundle_20260412_042456.log,True,231106,2026-04-11T20:49:17+00:00,log
logs/run_trajectory_gallery_panel_20260411_101525.log,True,3106,2026-04-11T02:15:47+00:00,log
logs/run_trajectory_gallery_panel_20260412_063105.log,True,1654,2026-04-11T22:31:06+00:00,log
