time,hours_elapsed,surface_t,beached_t,evaporated_t,dispersed_t,surface_pct,beached_pct,evaporated_pct,dispersed_pct
2023-03-03 09:59:00,0,52.1134,0.0,0.0,0.0,104.23,0.0,0.0,0.0
2023-03-03 10:59:00,1,40.4739,0.0,10.2329,0.0,80.95,0.0,20.47,0.0
2023-03-03 11:59:00,2,40.0712,0.0,11.3528,0.0,80.14,0.0,22.71,0.0
2023-03-03 12:59:00,3,39.717,0.0,11.6964,0.0,79.43,0.0,23.39,0.0
2023-03-03 13:59:00,4,38.4026,0.9818,12.0178,0.0,76.81,1.96,24.04,0.0
2023-03-03 14:59:00,5,34.5749,3.5268,11.9813,0.0,69.15,7.05,23.96,0.0
2023-03-03 15:59:00,6,32.7383,1.5796,11.0646,4.6176,65.48,3.16,22.13,9.24
2023-03-03 16:59:00,7,31.482,1.0274,10.7634,6.7272,62.96,2.05,21.53,13.45
2023-03-03 17:59:00,8,30.244,1.0345,10.615,8.1065,60.49,2.07,21.23,16.21
2023-03-03 18:59:00,9,29.289,0.7628,10.4392,9.5089,58.58,1.53,20.88,19.02
2023-03-03 19:59:00,10,28.5164,0.5818,10.3423,10.5595,57.03,1.16,20.68,21.12
2023-03-03 20:59:00,11,27.8052,0.5216,10.3067,11.3665,55.61,1.04,20.61,22.73
2023-03-03 21:59:00,12,27.0688,0.5602,10.2807,12.0902,54.14,1.12,20.56,24.18
2023-03-03 22:59:00,13,26.5723,0.3415,10.2114,12.8748,53.14,0.68,20.42,25.75
2023-03-03 23:59:00,14,26.4046,0.0117,10.2181,13.3656,52.81,0.02,20.44,26.73
2023-03-04 00:59:00,15,26.2207,0.0,10.3632,13.4161,52.44,0.0,20.73,26.83
2023-03-04 01:59:00,16,25.9306,0.0,10.5388,13.5307,51.86,0.0,21.08,27.06
2023-03-04 02:59:00,17,25.3026,0.2529,10.7502,13.6944,50.61,0.51,21.5,27.39
2023-03-04 03:59:00,18,24.7609,0.1559,10.8556,14.2276,49.52,0.31,21.71,28.46
2023-03-04 04:59:00,19,21.9481,2.4379,10.9963,14.6177,43.9,4.88,21.99,29.24
2023-03-04 05:59:00,20,17.3798,4.2658,10.0544,18.3,34.76,8.53,20.11,36.6
2023-03-04 06:59:00,21,12.426,4.7266,8.1992,24.6481,24.85,9.45,16.4,49.3
2023-03-04 07:59:00,22,8.0312,4.2325,6.0427,31.6935,16.06,8.47,12.09,63.39
2023-03-04 08:59:00,23,5.5322,2.398,4.022,38.0478,11.06,4.8,8.04,76.1
2023-03-04 09:59:00,24,4.3946,1.0798,2.8469,41.6787,8.79,2.16,5.69,83.36
2023-03-04 10:59:00,25,3.5384,0.8514,2.2943,43.3159,7.08,1.7,4.59,86.63
2023-03-04 11:59:00,26,3.1122,0.426,1.842,44.6198,6.22,0.85,3.68,89.24
2023-03-04 12:59:00,27,2.4081,0.704,1.6113,45.2766,4.82,1.41,3.22,90.55
2023-03-04 13:59:00,28,1.5284,0.8791,1.2456,46.3469,3.06,1.76,2.49,92.69
2023-03-04 14:59:00,29,0.9228,0.6046,0.7907,47.6819,1.85,1.21,1.58,95.36
2023-03-04 15:59:00,30,0.305,0.6162,0.4738,48.605,0.61,1.23,0.95,97.21
2023-03-04 16:59:00,31,0.0,0.3046,0.1572,49.5382,0.0,0.61,0.31,99.08
