figure_id,case_id,phase_or_track,date_token,timestamp_utc,hour,model_name,model_label,run_type,view_type,variant,figure_title,relative_path,file_path,pixel_width,pixel_height,short_plain_language_interpretation,source_paths,notes,legacy_debug_only,pygnome_role
case_2016_09_01__prototype_2016__24h__opendrift__single,CASE_2016-09-01,prototype_pygnome_similarity_summary,2016-09-02,2016-09-02T00:00:00Z,24,opendrift,OpenDrift deterministic,single_forecast,single,paper,CASE_2016-09-01 | T+24 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__24h__opendrift__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__24h__opendrift__single.png,1512,2196,"Legacy prototype support figure for CASE_2016-09-01 at 24 h showing the OpenDrift deterministic higher-density core and broader support envelope derived from the stored deterministic normalized density raster, overlaid with the exact benchmark footprint outline and canonical Mindoro coastline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-01/benchmark/control/control_footprint_mask_2016-09-02T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/control/control_density_norm_2016-09-02T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/qa/footprint_overlay_2016-09-02T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-01/source_point_metadata.geojson,"Legacy/debug transport comparator with canonical Mindoro land/shoreline context, a small locator inset, density-derived inner/outer support envelopes, and with a provenance source-point star. Deterministic OpenDrift control vs deterministic PyGNOME only.",True,comparator_only
case_2016_09_01__prototype_2016__24h__pygnome__single,CASE_2016-09-01,prototype_pygnome_similarity_summary,2016-09-02,2016-09-02T00:00:00Z,24,pygnome,PyGNOME deterministic,single_forecast,single,paper,CASE_2016-09-01 | T+24 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__24h__pygnome__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__24h__pygnome__single.png,1512,2196,"Legacy prototype support figure for CASE_2016-09-01 at 24 h showing the PyGNOME deterministic higher-density core and broader support envelope derived from the stored deterministic normalized density raster, overlaid with the exact benchmark footprint outline and canonical Mindoro coastline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-01/benchmark/pygnome/pygnome_footprint_mask_2016-09-02T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/pygnome/pygnome_density_norm_2016-09-02T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/qa/footprint_overlay_2016-09-02T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-01/source_point_metadata.geojson,"Legacy/debug transport comparator with canonical Mindoro land/shoreline context, a small locator inset, density-derived inner/outer support envelopes, and with a provenance source-point star. Deterministic OpenDrift control vs deterministic PyGNOME only.",True,comparator_only
case_2016_09_01__prototype_2016__48h__opendrift__single,CASE_2016-09-01,prototype_pygnome_similarity_summary,2016-09-03,2016-09-03T00:00:00Z,48,opendrift,OpenDrift deterministic,single_forecast,single,paper,CASE_2016-09-01 | T+48 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__48h__opendrift__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__48h__opendrift__single.png,1512,2196,"Legacy prototype support figure for CASE_2016-09-01 at 48 h showing the OpenDrift deterministic higher-density core and broader support envelope derived from the stored deterministic normalized density raster, overlaid with the exact benchmark footprint outline and canonical Mindoro coastline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-01/benchmark/control/control_footprint_mask_2016-09-03T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/control/control_density_norm_2016-09-03T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/qa/footprint_overlay_2016-09-03T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-01/source_point_metadata.geojson,"Legacy/debug transport comparator with canonical Mindoro land/shoreline context, a small locator inset, density-derived inner/outer support envelopes, and with a provenance source-point star. Deterministic OpenDrift control vs deterministic PyGNOME only.",True,comparator_only
case_2016_09_01__prototype_2016__48h__pygnome__single,CASE_2016-09-01,prototype_pygnome_similarity_summary,2016-09-03,2016-09-03T00:00:00Z,48,pygnome,PyGNOME deterministic,single_forecast,single,paper,CASE_2016-09-01 | T+48 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__48h__pygnome__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__48h__pygnome__single.png,1512,2196,"Legacy prototype support figure for CASE_2016-09-01 at 48 h showing the PyGNOME deterministic higher-density core and broader support envelope derived from the stored deterministic normalized density raster, overlaid with the exact benchmark footprint outline and canonical Mindoro coastline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-01/benchmark/pygnome/pygnome_footprint_mask_2016-09-03T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/pygnome/pygnome_density_norm_2016-09-03T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/qa/footprint_overlay_2016-09-03T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-01/source_point_metadata.geojson,"Legacy/debug transport comparator with canonical Mindoro land/shoreline context, a small locator inset, density-derived inner/outer support envelopes, and with a provenance source-point star. Deterministic OpenDrift control vs deterministic PyGNOME only.",True,comparator_only
case_2016_09_01__prototype_2016__72h__opendrift__single,CASE_2016-09-01,prototype_pygnome_similarity_summary,2016-09-04,2016-09-04T00:00:00Z,72,opendrift,OpenDrift deterministic,single_forecast,single,paper,CASE_2016-09-01 | T+72 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__72h__opendrift__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__72h__opendrift__single.png,1512,2196,"Legacy prototype support figure for CASE_2016-09-01 at 72 h showing the OpenDrift deterministic higher-density core and broader support envelope derived from the stored deterministic normalized density raster, overlaid with the exact benchmark footprint outline and canonical Mindoro coastline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-01/benchmark/control/control_footprint_mask_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/control/control_density_norm_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/qa/footprint_overlay_2016-09-04T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-01/source_point_metadata.geojson,"Legacy/debug transport comparator with canonical Mindoro land/shoreline context, a small locator inset, density-derived inner/outer support envelopes, and with a provenance source-point star. Deterministic OpenDrift control vs deterministic PyGNOME only.",True,comparator_only
case_2016_09_01__prototype_2016__72h__pygnome__single,CASE_2016-09-01,prototype_pygnome_similarity_summary,2016-09-04,2016-09-04T00:00:00Z,72,pygnome,PyGNOME deterministic,single_forecast,single,paper,CASE_2016-09-01 | T+72 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__72h__pygnome__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__72h__pygnome__single.png,1512,2196,"Legacy prototype support figure for CASE_2016-09-01 at 72 h showing the PyGNOME deterministic higher-density core and broader support envelope derived from the stored deterministic normalized density raster, overlaid with the exact benchmark footprint outline and canonical Mindoro coastline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-01/benchmark/pygnome/pygnome_footprint_mask_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/pygnome/pygnome_density_norm_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/qa/footprint_overlay_2016-09-04T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-01/source_point_metadata.geojson,"Legacy/debug transport comparator with canonical Mindoro land/shoreline context, a small locator inset, density-derived inner/outer support envelopes, and with a provenance source-point star. Deterministic OpenDrift control vs deterministic PyGNOME only.",True,comparator_only
case_2016_09_01__prototype_2016__24_48_72h__opendrift_vs_pygnome__board,CASE_2016-09-01,prototype_pygnome_similarity_summary,2016-09-02_to_2016-09-04,2016-09-02T00:00:00Z;2016-09-03T00:00:00Z;2016-09-04T00:00:00Z,,opendrift_vs_pygnome,OpenDrift deterministic vs PyGNOME deterministic,comparison_board,board,slide,CASE_2016-09-01 | 24/48/72 h OpenDrift vs PyGNOME support envelopes,output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__24_48_72h__opendrift_vs_pygnome__board.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__24_48_72h__opendrift_vs_pygnome__board.png,2412,1944,"Legacy prototype support board for CASE_2016-09-01 showing paired 24 h, 48 h, and 72 h deterministic density-derived support envelopes and exact footprint outlines for OpenDrift and PyGNOME on the same benchmark grid with canonical Mindoro coastline and locator context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-01/benchmark/control/control_footprint_mask_2016-09-02T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/control/control_density_norm_2016-09-02T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/pygnome/pygnome_footprint_mask_2016-09-02T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/pygnome/pygnome_density_norm_2016-09-02T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/qa/footprint_overlay_2016-09-02T00-00-00Z.png | output/CASE_2016-09-01/benchmark/control/control_footprint_mask_2016-09-03T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/control/control_density_norm_2016-09-03T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/pygnome/pygnome_footprint_mask_2016-09-03T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/pygnome/pygnome_density_norm_2016-09-03T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/qa/footprint_overlay_2016-09-03T00-00-00Z.png | output/CASE_2016-09-01/benchmark/control/control_footprint_mask_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/control/control_density_norm_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/pygnome/pygnome_footprint_mask_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/pygnome/pygnome_density_norm_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/qa/footprint_overlay_2016-09-04T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-01/source_point_metadata.geojson,"Legacy/debug transport comparator board with canonical Mindoro land/shoreline context, a small locator/legend side panel, density-derived inner/outer support envelopes, and with a provenance source-point star. Deterministic OpenDrift control vs deterministic PyGNOME only.",True,comparator_only
case_2016_09_06__prototype_2016__24h__opendrift__single,CASE_2016-09-06,prototype_pygnome_similarity_summary,2016-09-07,2016-09-07T00:00:00Z,24,opendrift,OpenDrift deterministic,single_forecast,single,paper,CASE_2016-09-06 | T+24 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__24h__opendrift__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__24h__opendrift__single.png,1512,2196,"Legacy prototype support figure for CASE_2016-09-06 at 24 h showing the OpenDrift deterministic higher-density core and broader support envelope derived from the stored deterministic normalized density raster, overlaid with the exact benchmark footprint outline and canonical Mindoro coastline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-06/benchmark/control/control_footprint_mask_2016-09-07T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/control/control_density_norm_2016-09-07T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/qa/footprint_overlay_2016-09-07T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-06/source_point_metadata.geojson,"Legacy/debug transport comparator with canonical Mindoro land/shoreline context, a small locator inset, density-derived inner/outer support envelopes, and with a provenance source-point star. Deterministic OpenDrift control vs deterministic PyGNOME only.",True,comparator_only
case_2016_09_06__prototype_2016__24h__pygnome__single,CASE_2016-09-06,prototype_pygnome_similarity_summary,2016-09-07,2016-09-07T00:00:00Z,24,pygnome,PyGNOME deterministic,single_forecast,single,paper,CASE_2016-09-06 | T+24 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__24h__pygnome__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__24h__pygnome__single.png,1512,2196,"Legacy prototype support figure for CASE_2016-09-06 at 24 h showing the PyGNOME deterministic higher-density core and broader support envelope derived from the stored deterministic normalized density raster, overlaid with the exact benchmark footprint outline and canonical Mindoro coastline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-06/benchmark/pygnome/pygnome_footprint_mask_2016-09-07T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/pygnome/pygnome_density_norm_2016-09-07T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/qa/footprint_overlay_2016-09-07T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-06/source_point_metadata.geojson,"Legacy/debug transport comparator with canonical Mindoro land/shoreline context, a small locator inset, density-derived inner/outer support envelopes, and with a provenance source-point star. Deterministic OpenDrift control vs deterministic PyGNOME only.",True,comparator_only
case_2016_09_06__prototype_2016__48h__opendrift__single,CASE_2016-09-06,prototype_pygnome_similarity_summary,2016-09-08,2016-09-08T00:00:00Z,48,opendrift,OpenDrift deterministic,single_forecast,single,paper,CASE_2016-09-06 | T+48 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__48h__opendrift__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__48h__opendrift__single.png,1512,2196,"Legacy prototype support figure for CASE_2016-09-06 at 48 h showing the OpenDrift deterministic higher-density core and broader support envelope derived from the stored deterministic normalized density raster, overlaid with the exact benchmark footprint outline and canonical Mindoro coastline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-06/benchmark/control/control_footprint_mask_2016-09-08T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/control/control_density_norm_2016-09-08T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/qa/footprint_overlay_2016-09-08T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-06/source_point_metadata.geojson,"Legacy/debug transport comparator with canonical Mindoro land/shoreline context, a small locator inset, density-derived inner/outer support envelopes, and with a provenance source-point star. Deterministic OpenDrift control vs deterministic PyGNOME only.",True,comparator_only
