case_id,comparison_track_id,comparison_track_label,hour,kl_divergence,epsilon,ocean_cell_count
CASE_2016-09-01,deterministic,OpenDrift deterministic,24,22.34723571391521,1e-10,25600
CASE_2016-09-01,deterministic,OpenDrift deterministic,48,22.391049876303683,1e-10,25600
CASE_2016-09-01,deterministic,OpenDrift deterministic,72,22.516645574445334,1e-10,25600
CASE_2016-09-01,ensemble_p50,OpenDrift p50 threshold,24,22.34723571391521,1e-10,25600
CASE_2016-09-01,ensemble_p50,OpenDrift p50 threshold,48,0.0584034457352398,1e-10,2
CASE_2016-09-01,ensemble_p50,OpenDrift p50 threshold,72,0.1839994653767589,1e-10,2
CASE_2016-09-01,ensemble_p90,OpenDrift p90 threshold,24,0.0145891711912688,1e-10,2
CASE_2016-09-01,ensemble_p90,OpenDrift p90 threshold,48,0.0584034457352398,1e-10,2
CASE_2016-09-01,ensemble_p90,OpenDrift p90 threshold,72,0.1839994653767589,1e-10,2
CASE_2016-09-06,deterministic,OpenDrift deterministic,24,23.020741030615504,1e-10,25600
CASE_2016-09-06,deterministic,OpenDrift deterministic,48,22.88077177462232,1e-10,25600
CASE_2016-09-06,deterministic,OpenDrift deterministic,72,22.598257701919884,1e-10,25600
CASE_2016-09-06,ensemble_p50,OpenDrift p50 threshold,24,0.6880962119304719,1e-10,2
CASE_2016-09-06,ensemble_p50,OpenDrift p50 threshold,48,0.5481265976439859,1e-10,2
CASE_2016-09-06,ensemble_p50,OpenDrift p50 threshold,72,0.2656118017620267,1e-10,2
CASE_2016-09-06,ensemble_p90,OpenDrift p90 threshold,24,0.6880962119304719,1e-10,2
CASE_2016-09-06,ensemble_p90,OpenDrift p90 threshold,48,0.5481265976439859,1e-10,2
CASE_2016-09-06,ensemble_p90,OpenDrift p90 threshold,72,0.2656118017620267,1e-10,2
CASE_2016-09-17,deterministic,OpenDrift deterministic,24,22.347235713915204,1e-10,25600
CASE_2016-09-17,deterministic,OpenDrift deterministic,48,22.39104987630369,1e-10,25600
CASE_2016-09-17,deterministic,OpenDrift deterministic,72,22.516645574445334,1e-10,25600
CASE_2016-09-17,ensemble_p50,OpenDrift p50 threshold,24,22.347235713915204,1e-10,25600
CASE_2016-09-17,ensemble_p50,OpenDrift p50 threshold,48,0.0584034457352398,1e-10,2
CASE_2016-09-17,ensemble_p50,OpenDrift p50 threshold,72,0.1839994653767589,1e-10,2
CASE_2016-09-17,ensemble_p90,OpenDrift p90 threshold,24,0.0145891711912688,1e-10,2
CASE_2016-09-17,ensemble_p90,OpenDrift p90 threshold,48,0.0584034457352398,1e-10,2
CASE_2016-09-17,ensemble_p90,OpenDrift p90 threshold,72,0.1839994653767589,1e-10,2
